"PopName" "Year" "Sex" "AgeGroup" "Population"
"411" "SchleswigHolstein" 2019 "f" 46 17142
"412" "SchleswigHolstein" 2019 "f" 47 18655
"413" "SchleswigHolstein" 2019 "f" 48 20841
"414" "SchleswigHolstein" 2019 "f" 49 21561
"415" "SchleswigHolstein" 2019 "f" 50 23945
"416" "SchleswigHolstein" 2019 "f" 51 25467
"417" "SchleswigHolstein" 2019 "f" 52 26254
"418" "SchleswigHolstein" 2019 "f" 53 26445
"419" "SchleswigHolstein" 2019 "f" 54 26206
"420" "SchleswigHolstein" 2019 "f" 55 26018
"421" "SchleswigHolstein" 2019 "f" 56 25554
"422" "SchleswigHolstein" 2019 "f" 57 24209
"423" "SchleswigHolstein" 2019 "f" 58 23675
"424" "SchleswigHolstein" 2019 "f" 59 22543
"425" "SchleswigHolstein" 2019 "f" 60 21880
"426" "SchleswigHolstein" 2019 "f" 61 20415
"427" "SchleswigHolstein" 2019 "f" 62 20236
"428" "SchleswigHolstein" 2019 "f" 63 18943
"429" "SchleswigHolstein" 2019 "f" 64 18531
"430" "SchleswigHolstein" 2019 "f" 65 18534
"431" "SchleswigHolstein" 2019 "f" 66 17427
"432" "SchleswigHolstein" 2019 "f" 67 17410
"433" "SchleswigHolstein" 2019 "f" 68 17312
"434" "SchleswigHolstein" 2019 "f" 69 17526
"435" "SchleswigHolstein" 2019 "f" 70 17164
"436" "SchleswigHolstein" 2019 "f" 71 16847
"437" "SchleswigHolstein" 2019 "f" 72 15477
"438" "SchleswigHolstein" 2019 "f" 73 14561
"439" "SchleswigHolstein" 2019 "f" 74 12051
"440" "SchleswigHolstein" 2019 "f" 75 15611
"441" "SchleswigHolstein" 2019 "f" 76 15978
"442" "SchleswigHolstein" 2019 "f" 77 15210
"443" "SchleswigHolstein" 2019 "f" 78 18017
"444" "SchleswigHolstein" 2019 "f" 79 17907
"445" "SchleswigHolstein" 2019 "f" 80 17360
"446" "SchleswigHolstein" 2019 "f" 81 15926
"447" "SchleswigHolstein" 2019 "f" 82 14036
"448" "SchleswigHolstein" 2019 "f" 83 12736
"449" "SchleswigHolstein" 2019 "f" 84 11584
"450" "SchleswigHolstein" 2019 "f" 85 9702
"451" "SchleswigHolstein" 2019 "f" 86 6840
"452" "SchleswigHolstein" 2019 "f" 87 6041
"453" "SchleswigHolstein" 2019 "f" 88 5777
"454" "SchleswigHolstein" 2019 "f" 89 5166
"455" "SchleswigHolstein" 2019 "f" 90 20937
"456" "SchleswigHolstein" 2019 "m" 0 12707
"457" "SchleswigHolstein" 2019 "m" 1 13175
"458" "SchleswigHolstein" 2019 "m" 2 13439
"459" "SchleswigHolstein" 2019 "m" 3 13574
"460" "SchleswigHolstein" 2019 "m" 4 13303
"461" "SchleswigHolstein" 2019 "m" 5 13123
"462" "SchleswigHolstein" 2019 "m" 6 12909
"463" "SchleswigHolstein" 2019 "m" 7 13146
"464" "SchleswigHolstein" 2019 "m" 8 12715
"465" "SchleswigHolstein" 2019 "m" 9 13375
"466" "SchleswigHolstein" 2019 "m" 10 13315
"467" "SchleswigHolstein" 2019 "m" 11 13367
"468" "SchleswigHolstein" 2019 "m" 12 13773
"469" "SchleswigHolstein" 2019 "m" 13 13566
"470" "SchleswigHolstein" 2019 "m" 14 13567
"471" "SchleswigHolstein" 2019 "m" 15 14162
"472" "SchleswigHolstein" 2019 "m" 16 14221
"473" "SchleswigHolstein" 2019 "m" 17 14686
"474" "SchleswigHolstein" 2019 "m" 18 15187
"475" "SchleswigHolstein" 2019 "m" 19 16223
"476" "SchleswigHolstein" 2019 "m" 20 16903
"477" "SchleswigHolstein" 2019 "m" 21 16405
"478" "SchleswigHolstein" 2019 "m" 22 17105
"479" "SchleswigHolstein" 2019 "m" 23 16524
"480" "SchleswigHolstein" 2019 "m" 24 16099
"481" "SchleswigHolstein" 2019 "m" 25 16483
"482" "SchleswigHolstein" 2019 "m" 26 16543
"483" "SchleswigHolstein" 2019 "m" 27 16644
"484" "SchleswigHolstein" 2019 "m" 28 16978
"485" "SchleswigHolstein" 2019 "m" 29 17908
"486" "SchleswigHolstein" 2019 "m" 30 17390
"487" "SchleswigHolstein" 2019 "m" 31 18054
"488" "SchleswigHolstein" 2019 "m" 32 17609
"489" "SchleswigHolstein" 2019 "m" 33 16866
"490" "SchleswigHolstein" 2019 "m" 34 16195
"491" "SchleswigHolstein" 2019 "m" 35 16131
"492" "SchleswigHolstein" 2019 "m" 36 16442
"493" "SchleswigHolstein" 2019 "m" 37 16790
"494" "SchleswigHolstein" 2019 "m" 38 16727
"495" "SchleswigHolstein" 2019 "m" 39 16979
"496" "SchleswigHolstein" 2019 "m" 40 16204
"497" "SchleswigHolstein" 2019 "m" 41 16499
"498" "SchleswigHolstein" 2019 "m" 42 16167
"499" "SchleswigHolstein" 2019 "m" 43 16317
"500" "SchleswigHolstein" 2019 "m" 44 16083
"501" "SchleswigHolstein" 2019 "m" 45 16064
"502" "SchleswigHolstein" 2019 "m" 46 16607
"503" "SchleswigHolstein" 2019 "m" 47 18010
"504" "SchleswigHolstein" 2019 "m" 48 20256
"505" "SchleswigHolstein" 2019 "m" 49 21306
"506" "SchleswigHolstein" 2019 "m" 50 23598
"507" "SchleswigHolstein" 2019 "m" 51 24957
"508" "SchleswigHolstein" 2019 "m" 52 25998
"509" "SchleswigHolstein" 2019 "m" 53 26018
"510" "SchleswigHolstein" 2019 "m" 54 25383
"511" "SchleswigHolstein" 2019 "m" 55 25998
"512" "SchleswigHolstein" 2019 "m" 56 24852
